u,v
65344130,263990898
65346130,258914480
65346130,65346164
65346164,7026307316
65346168,2726255230
65346168,6587926827
65346174,3526885173
65346174,3449339698
65346254,370813013
65346331,258914480
65347159,65311390
65347199,4064695882
65347199,4064695371
65347199,4064695830
65347558,65342084
65347558,65362323
65347558,65362314
65347655,315424283
65347655,65302954
65347665,315424559
65347670,65347665
65347670,2716299656
65348256,65332289
65348256,65318451
65348256,1777583588
65348517,258922160
65348517,65342076
65348521,65362314
65348521,4062434375
65348521,65342076
65348521,65319506
65349256,65360198
65349256,65337883
65349256,65280097
65349387,65335446
65349387,65349389
65349387,65305727
65349387,65330300
65349389,65344130
65349389,65349387
65349389,65335448
65349389,65316342
65349394,6357368670
65349394,65330304
65349394,6357368671
65350300,65370802
65350553,65342744
65350553,65341569
65350553,65340967
65350553,12116291923
65350556,4034185242
65350556,65341574
65350556,65287879
65350687,65316342
65350793,65316021
65350793,65332964
65350793,65305959
65350803,261499008
65350803,2456996785
65350803,761766172
65351693,12195577840
65351693,6356743341
65351693,12195577883
65351693,65359469
65351697,65342686
65351697,65353311
65351697,65340952
65351697,12195577883
65351722,258922152
65351722,65317270
65352591,65352594
65352591,65302665
65352591,65326422
65352594,65326424
65352594,65352591
65353229,65330304
65353235,65320652
65353303,65365901
65353303,4044866184
65353303,65340921
65353303,1707842763
65353309,4044866184
65353309,65353310
65353309,65340931
65353309,65364837
65353310,65353309
65353310,65319849
65353310,12195577871
65353310,65340935
65353311,65351697
65353311,65340947
65353311,65316115
65353311,12195577862
65353313,65353316
65353313,65299693
65353313,65340959
65353313,65364777
65353316,65353313
65353316,12498396198
65353316,65340962
65353316,258916805
65353320,65353322
65353320,65297026
65353320,65340972
65353320,65357344
65353322,65353320
65353322,65340973
65353322,65366846
65353322,65309774
65353553,65353692
65353553,65353706
65353692,5556967423
65353692,7922810414
65353706,65353728
65353728,258289371
65353728,4069109616
65354498,5473006703
65354498,1196875324
65354498,65282059
65355106,65342004
65355106,65360368
65355106,65301296
65355540,1196816836
65355930,65355934
65355934,65355930
65355934,258757449
65356368,1607089647
65356368,1607089611
65356368,65318451
65357344,65366846
65357344,65295190
65357344,65297024
65357344,65353320
65357346,2630856888
65357346,12116268953
65358533,65287857
65358533,65299643
65358533,65358541
65358533,65364781
65358541,65358533
65358541,4034101610
65358541,1809552699
